Model,MAE,RMSE,MAPE (%),Improvement vs Persistence (%)
Persistence (t-1),36063.91287878788,46999.26040432953,5.866806645291077,0.0
Seasonal-naive (t-365),50508.09564393939,64891.28916599305,8.081353939795012,-40.1
Tuned XGBoost (test),29690.637606534092,35013.99343976295,4.881103578238804,17.7
